"feature","p"
"DSG2",0.483325940994042
"FOXC1",0.572082635346497
"SNCAIP.x",0.454073168732846
"DDX3Y",0.732406637202679
"ZFY",0.791538629524661
"GPC4",0.616067777242514
"SPAG6",0.00762629319596559
"ADCY2",0.814447007256889
"CEACAM6",0.203243040316877
"ADAMTS2",0.284443907190596
"MMP2",0.759239115965571
"PHACTR3",0.353407832001911
"CRISP3",0.614994207513846
"PRKY",0.533858053678749
"LGALS2",0.437491210834107
"CHRDL1",0.0484571379914602
"OLFM4",0.686245933024853
"MSLN",0.931574971664803
"HOXA3",0.151482399708126
"HOXA5",0.254771934050164
"HOXA6",0.0945760448271977
"NPTX2",0.982447482101037
"DNTT",0.768094091177628
"CXCL12",0.380502906749062
"HOXB6",0.123252627215437
"CCL2",0.00227575482305636
"PPARGC1A",0.249323284390865
"MDFI",0.399200712552303
"PRLR",0.0211043704082461
"USP9Y",0.827531709162587
"FN1",0.0522654641716004
"MMP8",0.808301762570095
"NKX2-3",0.0149027550760389
"HOXB8",0.968800873977756
"HOXB5",0.595794181052682
"HOXB3",0.116347515496958
"EPX",0.0379224088580959
"DPPA4",0.556390993061996
"KIAA0087",0.969531605948758
"HOXA7",0.363323071758142
"CEACAM8",0.130319138836876
"EREG",0.243355332103467
"LAMP5",0.0560837142071222
"RPS4Y1",0.919195352165666
"PXDN",0.828723206360517
"TXLNG2P",0.34898508111361
"BEX1",0.483135692608604
"MYO18B",0.908771081959173
"CA1",0.954189979122686
"GSTM1",0.425148598018148
"DSC2",0.577916226816799
"THBS1",0.061054084688544
"CDC42BPA",0.178299847899143
"MEIS1",0.13867042413608
"DDIT4L",0.0207159973763567
"ST18",0.704305600350221
"LCN2",0.344136166575022
"LPHN3",0.0152318196325069
"DOCK1",0.998537174212565
"POU4F1",0.137371063630228
"IGSF10",0.563179060067482
"GJA1",0.205529839782883
"PLEKHG4B",0.0237795304182062
"FGD5",0.747403202999061
"PIEZO2",0.4329937668944
"RBPMS",0.580006176841299
"CLSTN2",0.733552351787957
"ALAS2",0.513369398322634
"HPGDS",0.200006531013777
"DEFA4",0.351510349571405
"DEFB1",0.292493970086225
"CYYR1",0.883633013878375
"SCN9A.x",0.528847125575988
"AHSP",0.745784473843497
"GYPA",0.797902643767909
"CDH2",0.812565167233808
"GTSF1",0.130629990151784
"HOXB9",0.648679993524619
"TRH",0.126482003788848
"RXFP1",0.720024394577603
"LAMB2",0.7931877226848
"ARPP21",0.312384747368949
"CSPG4",0.0291071148118209
"CD34",0.342735045079125
"C20orf166-AS1",0.760402169579181
"DPP10",0.743233934585534
"KCNE1L",0.606640470847958
"TTTY14",0.788008859067256
"IRX5",0.599187377319193
"LINC00982",0.281291338458867
"IRX3",0.828961552445514
"CDH4",0.502402424643117
"MKRN3",0.937163431851138
"SLITRK4",0.479520466366515
"SAGE1",0.780493077789879
"NDN",0.675268887421751
"GPC6",0.82895876071983
"WT1-AS",0.085429309917758
"UTY",0.794599763132476
"DLK1",0.812328211623529
"PRAME",0.664804731264147
"CD300E",0.175946893045455
"COL4A5",0.159118221507089
"HBA2",0.527848203623528
"S100A16",0.100949700946271
