"feature","p_value","q_value","method","beta","r_squared"
"MMP2",3.03574816207721e-09,3.32680442916296e-08,"linear_regression (continuous/count feature)",-0.0103196545455043,0.188326970286618
"CRISP3",1.30131715887329e-08,1.15275011656859e-07,"linear_regression (continuous/count feature)",0.00916703480107058,0.174574058106862
"CHRDL1",9.31290183108655e-08,6.87473239336459e-07,"linear_regression (continuous/count feature)",0.00796620715435605,0.155661411214625
"OLFM4",1.44526771524545e-08,1.25927834533271e-07,"linear_regression (continuous/count feature)",0.00969090590138358,0.173574947241676
"HOXA3",4.2202796053148e-06,2.1464867083491e-05,"linear_regression (continuous/count feature)",-0.0072960338516754,0.118020665285373
"HOXA5",2.70449784335561e-06,1.43744060374351e-05,"linear_regression (continuous/count feature)",-0.00725240145449331,0.122476300236139
"HOXA6",1.83433010012809e-07,1.27765126122016e-06,"linear_regression (continuous/count feature)",-0.00786084665092488,0.149064363174379
"NPTX2",8.42402010252409e-06,3.859798865941e-05,"linear_regression (continuous/count feature)",-0.0069927164519745,0.111069056627969
"HOXB6",1.81262416050598e-07,1.27765126122016e-06,"linear_regression (continuous/count feature)",-0.00706042810882564,0.149180571558451
"CCL2",2.15434960987633e-09,2.46244476913821e-08,"linear_regression (continuous/count feature)",0.0116174575672674,0.191538293661513
"MDFI",3.39481817344735e-06,1.76896652861497e-05,"linear_regression (continuous/count feature)",-0.00765297835437102,0.120201986025725
"FN1",2.06848027237163e-05,8.55562073747488e-05,"linear_regression (continuous/count feature)",0.00647081376543895,0.101981398228992
"MMP8",2.70722021881947e-09,2.99768238813031e-08,"linear_regression (continuous/count feature)",0.0101691480897174,0.189400650716023
"NKX2.3",1.64198583844729e-11,3.9668885142488e-10,"linear_regression (continuous/count feature)",-0.00802706712729954,0.235980547116602
"HOXB8",3.25831818817861e-08,2.68495522018129e-07,"linear_regression (continuous/count feature)",-0.00736779357723696,0.165798627408198
"HOXB5",1.5928039473961e-05,6.82722014549213e-05,"linear_regression (continuous/count feature)",-0.00610475989530264,0.104630888782577
"HOXB3",2.76484681995764e-10,4.13948192903517e-09,"linear_regression (continuous/count feature)",-0.00966903580102203,0.210526434338001
"HOXA7",1.04557725573975e-05,4.68965663650359e-05,"linear_regression (continuous/count feature)",-0.00668693859835735,0.108888545189165
"CEACAM8",2.68360853102778e-11,6.06952312443092e-10,"linear_regression (continuous/count feature)",0.0113023339662331,0.231607006390957
"CDC42BPA",8.78026422192625e-18,1.55557014465127e-15,"linear_regression (continuous/count feature)",0.014854470720147,0.354513272781594
"DDIT4L",6.94289174979426e-21,3.69014696501565e-18,"linear_regression (continuous/count feature)",0.0145731432926634,0.406366897753507
"LCN2",2.21841480883215e-12,7.14598467208659e-11,"linear_regression (continuous/count feature)",0.0122427934204585,0.253563155802591
"IGSF10",6.05036030357496e-09,6.12526952638113e-08,"linear_regression (continuous/count feature)",-0.00838973921124155,0.181835521701595
"GJA1",2.80476621718984e-08,2.32927069443188e-07,"linear_regression (continuous/count feature)",0.00923493599253672,0.167237133608951
"FGD5",4.30788598982782e-14,3.05285520479132e-12,"linear_regression (continuous/count feature)",0.0108166921030851,0.287078859425334
"DEFA4",2.3652301262837e-06,1.27626376864953e-05,"linear_regression (continuous/count feature)",0.00787433622881048,0.123815322312298
"CYYR1",2.57222235814028e-12,7.81220676200892e-11,"linear_regression (continuous/count feature)",0.0118924954426904,0.252276390124466
"HOXB9",8.50945940148831e-06,3.86295992381929e-05,"linear_regression (continuous/count feature)",-0.00594328199978984,0.110967294468422
"C20orf166.AS1",2.04543197657594e-13,1.0353781862382e-11,"linear_regression (continuous/count feature)",-0.0115197512261262,0.2740067967791
